axis,claude_sonnet5,qwen37plus,deepseek_instant,deepseek_expert,deepseek_deepthink,perplexity,gemini_31_pro,kimi_instant,mistral_large3,gpt5,grok4,llama4
research_arch,fixed deterministic pipeline + evidence DB,custom pipeline: query->discover->filter->extract->synth->verify,search->extract claims->verify->contradictions->synthesize,search->extract+cite->verify->contradiction->synthesize->store evidence,"'DiffResearch' (FABRICATED) customized; ArXiv+SS",evidence-first pipeline; evidence ledger is source of truth,PaperQA2 + SearXNG + Crawl4AI (RAG graph synthesis for citations),Firecrawl MCP (deep research) + Perplexity Sonar (citations) + Tavily; store retrieved content in SQLite before synthesis,,,,
anti_hallucination,never answer from memory + reader/verifier split + DOI resolve,direct quotes + page nums + DOI check via CrossRef + JSON claim/evidence,direct quotes + DOI verify + structured JSON claims + flag unsupported,claim extraction + verify + contradiction detection + store all evidence,(mentions multi-agent synthesis; no explicit rules),no citation from memory + evidence key per claim + citation verifier + mandatory contradiction agent,delegates to PaperQA2's RAG verification ("zero-hallucination citations"); no custom rules,require primary sources + Firecrawl schema extraction (structured output) + store all retrieved content in SQLite before synthesis,,,,
memory_start,files + SQLite,files + SQLite,SQLite + Chroma + filesystem,SQLite + ChromaDB,SQLite + Chroma,SQLite + FTS5 + Markdown/Git,SQLite + sqlite-vec + Markdown (AGENTS.md/MEMORY.md),SQLite + sqlite-vec + filesystem (AGENTS.md),,,,
memory_later,sqlite-vec then Graphiti/Cognee if needed,ChromaDB after ~1 month; Neo4j only if needed,(4-layer from start; KG "future if needed"),(not staged; MemGPT listed as alt),"Mem0 (hybrid vector+graph) later; Neo4j at 64GB",local embeddings + Qdrant (embedded) only after FTS fails,(not staged; PostgreSQL+pgvector only in multi-node upgrade),Cognee (KG) only if reasoning needs it; Kuzu when semantic memory >100K docs,,,,
vector_db,sqlite-vec (no standalone),ChromaDB,Chroma,ChromaDB,Chroma (+ Mem0),Qdrant (embedded/local persistent),sqlite-vec (in-process; explicitly NO standalone daemon),sqlite-vec (4ms latency claim; explicitly NOT Chroma/Weaviate/Qdrant),,,,
knowledge_graph,defer until proven multi-hop need,defer (NetworkX/Neo4j only if needed),defer ("future if needed"),not discussed,defer (Mem0 graph / Neo4j at 64GB),defer; optional lightweight KG projections later; NO Neo4j to start,reject Neo4j (Java overhead ~2-4GB); Markdown+SQLite joins instead,defer to Cognee/Kuzu; only when semantic memory exceeds 100K documents,,,,
sandbox_isolation,dedicated non-admin user + Apple container/Colima,dedicated user + file perms + pfctl (NO containers),dedicated user (uid 1001) + file perms + pf egress allowlist,dedicated user + macOS seatbelt + Docker (CONTRADICTS own J list),dedicated non-admin user + Lima VM + macOS Seatbelt,dedicated non-admin 'agentops' + Docker worktrees + per-task worktrees (no home mount),dedicated 'ai-worker' user + Lima/Docker + AST/regex command interceptor,dedicated non-admin 'agent' user + chroot/jail per project + Docker only for OpenHands sandbox,,,,
remote_network,Tailscale only,Tailscale only,Tailscale + Headscale (self-host control plane),Tailscale only,Tailscale only,Tailscale private tailnet + Tailscale Serve (Funnel off),Tailscale mesh (WebAuthn/YubiKey auth) + Mosh over Tailscale,Tailscale (free: 3 users/100 devices) + tailscale ssh; Funnel only for emergency,,,,
remote_control_plane,FastAPI + HTMX + ntfy,FastAPI web dashboard + Telegram bot + SSH,Flask web dashboard + REST API + ntfy/Pushover,FastAPI dashboard + WebSocket logs + ntfy,"'WhipDesk'/'Cloak'/'Helmrig' (FABRICATED) + FastAPI /status",local dashboard + approval console + API via Tailscale Serve,Streamlit or FastAPI bound to tailscale0 IP + Telegram bot,FastAPI PWA + SSE/WS on tailnet IP; POST /tasks; POST /emergency-stop,,,,
remote_coding,Claude Code Remote Control,SSH / web dashboard,web dashboard,FastAPI dashboard,WhipDesk mobile web UI (fabricated),dashboard + Tailscale SSH; no model endpoint exposed,Mosh terminal (Blink Shell on iOS) + web dashboard,tailscale ssh mac-mini + web dashboard,,,,
always_on_supervision,launchd KeepAlive + watchdog job,launchd KeepAlive + cron watchdog script,launchd KeepAlive + ThrottleInterval + supervisor heartbeat + separate monitor plist,launchd + supervisor daemon + watchdog timer + 30s health check,launchd KeepAlive + ThrottleInterval + supervisor restarts Ollama,launchd + SQLite leases + heartbeats + independent agent-watchdog service,launchd KeepAlive + ThrottleInterval 10 + caffeinate wrapper + in-proc watchdog thread,launchd user agent (RunAtLoad/KeepAlive/ThrottleInterval 60) + separate caffeinate LaunchDaemon,,,,
sleep_prevention,pmset + caffeinate,pmset + caffeinate,caffeinate -idsuw,(not explicit; temp auto-pause >80C),pmset -a sleep 0 disksleep 0 displaysleep 10,pmset no system sleep on power + auto-restart after power failure + UPS,caffeinate -s -i -m -u wrapping the daemon (verify via pmset -g assertions),pmset -c sleep 0 disksleep 0 networkoversleep 1 tcpkeepalive 1 + caffeinate -ims,,,,
crash_recovery,SQLite lease-timeout requeue,checkpoint.json + re-queue incomplete tasks,re-queue from persistent SQLite queue; restart stalled components >5min,restart from checkpoint; queue restored from Redis; model-OOM -> load smaller,SQLite queue survives crashes; launchd restarts supervisor -> supervisor restarts Ollama,expired-lease scan on restart; resume from checkpoint OR verifier/recovery task; never replay destructive action,launchd respawn + LangGraph persistent checkpoints + SQLite task status; heartbeat log,launchd KeepAlive + SQLite queue survives crash; on restart mark stale 'running' as 'failed' and resume from queue head,,,,
task_queue,SQLite table + asyncio workers,SQLite (Redis only if distributed later),persistent SQLite,Redis + Celery,SQLite (WAL) persistent priority queue,SQLite (tasks/leases/events/approvals/budget); no external scheduler,SQLite task_queue table (status/priority ORDER BY); polling loop,SQLite tasks + agent_configs + audit_log (Redis/RabbitMQ in 'do not install'),,,,
model_router,~80-line rule table (not RouteLLM),custom keyword-based select_model(),task-type -> model map (in-prompt),route_model() by task.type + task.complexity threshold,scheduler picks by model availability + priority + specialization,direct local endpoint + simple policy router; LiteLLM only if cloud added,Smart Model Router: fast vs heavy routing + max-concurrent-LLM enforcement,LiteLLM proxy (100+ providers; fallback logic) as a core component,,,,
cloud_dependence,optional; <$30/mo; $0 still useful,none (pure local; Brave Search paid optional),none in main strategy (cloud = "what NOT to default to"),optional cloud (Opus 4.5/GPT-5) when complexity>8 or local fails,none ("Ornith drives Claude Code locally for free"),optional cloud behind LiteLLM w/ budget caps + redaction; $0 fully usable,~95%+ local; cloud (Claude 3.5 Sonnet/DeepSeek-V3 - STALE) only after 3 failed local cycles,optional Phase 8; "Claude 3.5 Sonnet or GPT-4o" (STALE) only after 3 local failures / user approval,,,,
concurrency_heavy,1,~1 (32B),~1 (large),1,~1 (Qwen35B swap),1 primary inference request at a time,2 slots of ONE model (llama.cpp -np 2; shared weights),1 (Ollama single slot),,,,
concurrency_light,2-3,2-3 workers total (flat),3-5 worker slots (flat),2,2-3 concurrent LLM workers,1 small model (2 short batch after testing) + 1-3 non-LLM I/O workers,(no separate light tier; 2 workers total = the 2 llama.cpp slots),1 complex + 1 simple task max (~5 logical agents 'active'),,,,
concurrency_cloud,3-5,0,0,unspecified (threshold-gated),0,approval/budget gated,unspecified (rare edge-case fallback),unspecified (Phase 8 opt-in),,,,
storage_internal,OS + hot models + SQLite DBs + tools,models 80GB + DBs 20GB + active projects 100GB + logs,active models ~45GB + OS/tools/DBs + temp repos,macOS+apps 150GB + models 20GB + DBs 10GB + repos 50GB + scratch,macOS + Ollama models ~30GB + SQLite + Chroma,OS + Ollama runtime + active DB mirror + hot checkout cache + 100-150GB free reserve,workspace + SQLite db + logs + active git repos/worktrees (IOPS); NO model weights,macOS + apps + SQLite DBs + active workspaces + agent code (fast random access),,,,
storage_external,model library + workspaces + papers + logs + backups,git repos 200GB + papers 300GB + backups 200GB + archives,model archive + git archive + papers + datasets + logs + backups,model library 200GB + papers 300GB + archives 300GB + logs + docker images,repos + papers + datasets + logs + workspaces + backups (Thunderbolt/USB4),/Volumes/AIData as WORKSPACE ROOT: models + projects + corpus + state + artifacts + backups,ALL GGUFs + paper_archive PDFs + vector_cache + backups (load weights at startup),~/.ollama/models (symlink) + git repos + papers + datasets + embeddings cache + backups (APFS),,,,
topology,hierarchical coordinator/worker (not swarm),coordinator/worker + task queue,coordinator + agent pool + worker slots,agent factory + worker pool + model router,task queue + worker pool (Planner/Orchestrator/Monitor),executive coordinator + leads + workers + verifiers; explicitly NOT swarm,orchestrator core + Software/Research/System-Inspector agents + worker pool,"supervisor -> orchestrator -> dispatcher -> ~5 active specialized agents; start single-agent, add orchestration only when justified",,,,
dynamic_agents,coordinator writes agent def files capped at ~200,agent definitions in DB; loaded on task assignment,clone base template + customise + register in SQLite,dynamic agent factory per task type; role config files,~50 'Dynamic' agents created on-demand,logical agent = short-lived job spec (JSON); role specification not a permanent LLM,Task State Objects (SQLite rows: state/memory/tools/perms/instructions); dynamic spawner in orchestrator,agents = rows in agent_configs (JSON/YAML); dispatcher selects config by task type; ~50 'Dynamic' created on-demand,,,,
biggest_bottleneck,memory capacity then bandwidth then single heavy slot,memory bandwidth + model loading time,memory (one large model at a time) + swap latency,memory (32GB tight) + single large-model slot,memory (3 models loaded = oversubscribed),memory as shared pool; KV cache + time-to-first-token; single heavy worker,memory bandwidth + capacity (leaves little for contexts/OS cache/sandboxes),memory (one large model at a time); 2-4GB headroom 'critical for stability',,,,
recency_of_recommendations,2026-current tools + engaged M6 specifics,2024-era (Qwen2.5/Llama3.2/Phi3.5); no M6-specifics,"CONFABULATED 2026 (Rapid-MLX/DSH/Gemma4/Qwen3.5-3.8 fabricated)",2024-25 stack; families right but point-versions lag,"CONFABULATED 2026 (Ornith/Qwen3.5-35B/WhipDesk/DiffResearch/LightAgent fabricated)",2025-era proven stack; deliberately conservative; hedges M6 as future hw + benchmark-first,2024-era models (Qwen2.5-Coder-32B/R1-Distill) + STALE cloud list; tool layer more current; no M6 facts,mostly current 2026 tools + Qwen3-Coder-30B-A3B/gpt-oss; STALE cloud fallback (Claude 3.5 Sonnet/GPT-4o); no M6 facts,,,,
sources_cited_count,~97,0,0,0,0,~17 (real URLs; some aggregator/SEO-blog; 2 arXiv IDs unverified),0,0 usable (inline 'cite web_search:N#M' markers only; retrieval did occur),,,,
internal_contradictions,none noted,none noted,recommends Ollama in Phase 4 but forbids it in section J,recommends Docker in A/H but forbids "Docker for Mac" in J; dashboard binds 0.0.0.0 vs "no public exposure",256K ctx claim vs 1-2GB KV budget; 'oversubscription acceptable' vs headroom norm; forbids llama.cpp,none noted,none noted (minor plan bugs: `sudo tailscaled &` on macOS; sqlite extension-load needs custom python),none noted,,,,
trust_rating,HIGH (sourced) but not blind,MEDIUM (honest 2024 snapshot),LOW (fabricated stack),MEDIUM-HIGH (real tools; stale versions),LOW (highest fabrication count; advises oversubscription),MEDIUM-HIGH (retrieval-grounded; most security-thorough; honest re hardware),MEDIUM (real tools + executable plan; but 0 sources + 2024 models + stale cloud list),MEDIUM-HIGH (searched; all tools real; stale cloud + inflated numbers),,,,
notinstall_list,"k8s,vLLM,Neo4j-early,Milvus/Qdrant/Pinecone,CrewAI/AutoGPT/Swarms,LangChain-core,Airflow/n8n,3 inference stacks,70B dense,pixel computer-use,ngrok,Docker Desktop,trained router","Ollama,LangChain,CrewAI/AutoGen,Docker,PostgreSQL,Redis,Prometheus/Grafana,Neo4j,vLLM,multiple agent frameworks","Ollama,LM Studio GUI,LangChain,CrewAI,AutoGPT,server vector DBs,Docker,multiple engines,>35B dense,cloud-by-default","AutoGPT,LangChain,Ollama,Docker for Mac,Kubernetes,Qdrant/Weaviate,PostgreSQL,Airflow,n8n/Zapier","LangChain,AutoGen,CrewAI,llama.cpp,Docker Desktop,PostgreSQL,Neo4j,Redis,Kubernetes,Claude Code,LM Studio,VS Code ext,Cloudflare Tunnel","Kubernetes/k3s/Nomad,Redis+Celery+Postgres,multiple vector DBs,Neo4j,70B+ dense default,100 LLM agents,GUI-control agent w/ Accessibility,public Ollama endpoint,exposed Docker socket,personal browser profile,auto-approve overnight,unreviewed MCP servers,opaque memory product,cloud-only platform,privileged containers","Neo4j/graph DBs,CrewAI/AutoGen,standalone vector daemons (Milvus/Weaviate/Qdrant),Electron desktop agent apps","LangGraph/CrewAI/AutoGen,Docker Desktop for main,Chroma/Weaviate/Qdrant,PostgreSQL/MongoDB,Redis,Claude Code/Codex CLI (cloud-only),vLLM,GUI agents (CUA/UFO),n8n/Make/Zapier,multiple large models",,,,
